Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mesechites trifidus chloroplast, partial genome",Mesechites trifidus,379,379,100%,1.9999999999999995e-100,97.75,128408,MG963230.1
"Macropharynx renteriae chloroplast, partial genome",Macropharynx renteriae,379,379,100%,1.9999999999999995e-100,97.75,130043,MG963226.1
"Gynochthodes nanlingensis chloroplast, complete genome",Gynochthodes nanlingensis,379,379,100%,1.9999999999999995e-100,97.75,154086,KT852576.1
"Wrightia natalensis voucher S. P. Bester 9357 (PH) plastid, partial genome",Wrightia natalensis,379,379,100%,1.9999999999999995e-100,97.75,155244,KJ953913.1
"Nerium oleander voucher W. Judd 8076 (FLAS) plastid, complete genome",Nerium oleander,379,379,100%,1.9999999999999995e-100,97.75,154903,KJ953907.1
"Epigynum auritum voucher D. J. Middleton et al. 1457 (A) plastid, partial genome",Epigynum auritum,379,379,100%,1.9999999999999995e-100,97.75,153838,KJ953905.1
"Chonemorpha megacalyx chloroplast, complete genome",Chonemorpha megacalyx,379,379,100%,1.9999999999999995e-100,97.75,155694,NC_056322.1
"Wrightia laevis chloroplast, complete genome",Wrightia laevis,379,379,100%,1.9999999999999995e-100,97.75,155274,NC_054286.1
"Nerium oleander voucher FLAS:W.S. Judd 8076 photosystem II phosphoprotein (psbH) gene, complete cds; chloroplast",Nerium oleander,379,379,100%,1.9999999999999995e-100,97.75,222,GQ997670.1
"Syringa wolfii chloroplast, complete genome",Syringa wolfii,377,377,99%,5.999999999999998e-100,97.74,156517,MN901631.1
"Forsythia mandschurica voucher 18-40-1968 (Montreal BG, JFRU21) chloroplast, complete genome",Forsythia mandschurica,377,377,99%,5.999999999999998e-100,97.74,156396,NC_048504.1
"Osmanthus americanus chloroplast, complete genome",Osmanthus americanus,377,377,99%,5.999999999999998e-100,97.74,155553,NC_048503.1
"Pseudocaryopteris paniculata chloroplast, complete genome",Pseudocaryopteris paniculata,377,377,99%,5.999999999999998e-100,97.74,151953,MN814866.1
"Silvianthus bracteatus chloroplast, complete genome",Silvianthus bracteatus,377,377,99%,5.999999999999998e-100,97.74,155125,NC_047484.1
"Silvianthus bracteatus chloroplast, complete genome",Silvianthus bracteatus,377,377,99%,5.999999999999998e-100,97.74,155125,MN908147.1
"Forsythia mandschurica voucher 18-40-1968 (Montreal BG, JFRU21) chloroplast, complete genome",Forsythia mandschurica,377,377,99%,5.999999999999998e-100,97.74,156396,MH559275.1
"Osmanthus americanus voucher MO chloroplast, complete genome",Osmanthus americanus,377,377,99%,5.999999999999998e-100,97.74,155570,MH998250.1
"Osmanthus americanus chloroplast, complete genome",Osmanthus americanus,377,377,99%,5.999999999999998e-100,97.74,155553,MH119143.1
"Forsythia mira chloroplast, complete genome",Forsythia mira,377,377,99%,5.999999999999998e-100,97.74,156485,NC_046065.1
"Osmanthus armatus chloroplast, complete genome",Osmanthus armatus,377,377,99%,5.999999999999998e-100,97.74,155259,MN207124.1
"Osmanthus heterophyllus chloroplast, complete genome",Osmanthus heterophyllus,377,377,99%,5.999999999999998e-100,97.74,155322,MK299399.1
"Osmanthus decorus isolate Z-1 (KEITH arboretum) chloroplast, complete genome",Osmanthus decorus,377,377,99%,5.999999999999998e-100,97.74,155445,MK299398.1
"Osmanthus austrocaledonicus voucher P:J.K. Munzinger 1662 (P00354333) chloroplast, complete genome",Osmanthus austrocaledonicus,377,377,99%,5.999999999999998e-100,97.74,155460,MK299397.1
"Fraxinus velutina voucher A:532-74 chloroplast, complete genome",Fraxinus velutina,377,377,99%,5.999999999999998e-100,97.74,155589,MK299396.1
"Fraxinus sieboldiana voucher A-P-537-81 (Creech et al.) chloroplast, complete genome",Fraxinus sieboldiana,377,377,99%,5.999999999999998e-100,97.74,155703,MK299395.1
"Fraxinus nigra voucher A:405-88 chloroplast, complete genome",Fraxinus nigra,377,377,99%,5.999999999999998e-100,97.74,155345,MK299394.1
"Fraxinus mandshurica voucher A:1265-79 chloroplast, complete genome",Fraxinus mandshurica,377,377,99%,5.999999999999998e-100,97.74,155560,MK299393.1
"Fraxinus insularis voucher 19-2009 (K. Bachtell et al. NACPEC08-30) chloroplast, complete genome",Fraxinus insularis,377,377,99%,5.999999999999998e-100,97.74,155700,MK299392.1
"Fraxinus chinensis voucher A-P-14615 (E. Bretschneider) chloroplast, complete genome",Fraxinus chinensis,377,377,99%,5.999999999999998e-100,97.74,155639,MK299391.1
"Chionanthus brachystachys voucher P:G. McPherson 18127 (P00239376) chloroplast, complete genome",Chionanthus brachystachys,377,377,99%,5.999999999999998e-100,97.74,155589,MK299388.1
"Abeliophyllum distichum chloroplast, complete genome",Abeliophyllum distichum,377,377,99%,5.999999999999998e-100,97.74,156019,MN116559.1
"Abeliophyllum distichum chloroplast, complete genome",Abeliophyllum distichum,377,377,99%,5.999999999999998e-100,97.74,156008,MN127986.1
"Phoebe zhennan chloroplast, complete genome",Phoebe zhennan,377,377,99%,5.999999999999998e-100,97.74,155622,MK158313.1
"Fraxinus pennsylvanica chloroplast, complete genome",Fraxinus pennsylvanica,377,377,99%,5.999999999999998e-100,97.74,155543,NC_043874.1
"Abeliophyllum distichum chloroplast, complete genome",Abeliophyllum distichum,377,377,99%,5.999999999999998e-100,97.74,156008,MK616470.1
"Fraxinus sp. OR-2019 chloroplast, complete genome",Fraxinus sp. OR-2019,377,377,99%,5.999999999999998e-100,97.74,155515,MK064244.1
"Osmanthus yunnanensis chloroplast, complete genome",Osmanthus yunnanensis,377,377,99%,5.999999999999998e-100,97.74,155482,MH745226.1
"Osmanthus delavayi chloroplast, complete genome",Osmanthus delavayi,377,377,99%,5.999999999999998e-100,97.74,155362,MH745225.1
"Amphilophium dusenianum voucher J. Durigon 582 (ICN) chloroplast, complete genome",Amphilophium dusenianum,377,377,99%,5.999999999999998e-100,97.74,163693,NC_042916.1
"Chionanthus panamensis voucher K:E. Martinez & C.H. Ramos 26308 chloroplast, complete genome",Chionanthus panamensis,377,377,99%,5.999999999999998e-100,97.74,155812,NC_042786.1
"Fraxinus pennsylvanica chloroplast, complete genome",Fraxinus pennsylvanica,377,377,99%,5.999999999999998e-100,97.74,155543,MH836622.1
"Schrebera alata voucher XX-0-GOET-14122 chloroplast, complete genome",Schrebera alata,377,377,99%,5.999999999999998e-100,97.74,156087,NC_042467.1
"Picconia excelsa voucher PT-0-BR-20110182-45 chloroplast, complete genome",Picconia excelsa,377,377,99%,5.999999999999998e-100,97.74,155355,NC_042466.1
"Phillyrea latifolia voucher TUM:Kunne, sn chloroplast, complete genome",Phillyrea latifolia,377,377,99%,5.999999999999998e-100,97.74,155300,NC_042465.1
"Phillyrea angustifolia voucher Restinclieres, Prades-le-Lez chloroplast, complete genome",Phillyrea angustifolia,377,377,99%,5.999999999999998e-100,97.74,155335,NC_042464.1
"Osmanthus yunnanensis voucher XX-0-BR-19392003 chloroplast, complete genome",Osmanthus yunnanensis,377,377,99%,5.999999999999998e-100,97.74,155482,NC_042463.1
"Osmanthus delavayi isolate Back Yard-1 (KEITH arboretum) chloroplast, complete genome",Osmanthus delavayi,377,377,99%,5.999999999999998e-100,97.74,155365,NC_042462.1
"Olea tsoongii voucher MPU:RBGE-19697316 / G. Besnard, sn chloroplast, complete genome",Olea tsoongii,377,377,99%,5.999999999999998e-100,97.74,155237,NC_042461.1
"Olea paniculata voucher MPU:C. Lambrides 1 chloroplast, complete genome",Olea paniculata,377,377,99%,5.999999999999998e-100,97.74,155720,NC_042460.1
"Notelaea microcarpa voucher R.G. Coveny 12689 chloroplast, complete genome",Notelaea microcarpa,377,377,99%,5.999999999999998e-100,97.74,155019,NC_042459.1
"Notelaea longifolia voucher P:L.A. Craven & C.L. Brubaker 10154 (P04255187) chloroplast, complete genome",Notelaea longifolia,377,377,99%,5.999999999999998e-100,97.74,155037,NC_042458.1
"Nestegis cunninghamii isolate coll. KEW-1966-67114 voucher K:Kepos 45352 chloroplast, complete genome",Nestegis cunninghamii,377,377,99%,5.999999999999998e-100,97.74,154907,NC_042455.1
"Haenianthus salicifolius voucher MO:E. Terranova 15 chloroplast, complete genome",Haenianthus salicifolius,377,377,99%,5.999999999999998e-100,97.74,155928,NC_042453.1
"Fraxinus xanthoxyloides voucher K:Kepos 45350 chloroplast, complete genome",Fraxinus xanthoxyloides,377,377,99%,5.999999999999998e-100,97.74,155694,NC_042452.1
"Fraxinus quadrangulata voucher A:14654 (G.W. Letterman) chloroplast, complete genome",Fraxinus quadrangulata,377,377,99%,5.999999999999998e-100,97.74,155541,NC_042451.1
"Fraxinus latifolia isolate coll. KEW-1969-14512 voucher K:Kepos 45348 chloroplast, complete genome",Fraxinus latifolia,377,377,99%,5.999999999999998e-100,97.74,155606,NC_042450.1
"Fraxinus americana voucher A:968-79 (R.E. Weaver & J. Nickerson) chloroplast, complete genome",Fraxinus americana,377,377,99%,5.999999999999998e-100,97.74,155602,NC_042449.1
"Comoranthus minor voucher MO:R.I. Randrianaivo 1757 chloroplast, complete genome",Comoranthus minor,377,377,99%,5.999999999999998e-100,97.74,155929,NC_042448.1
"Chionanthus virginicus isolate coll. KEW-1976292 chloroplast, complete genome",Chionanthus virginicus,377,377,99%,5.999999999999998e-100,97.74,155748,NC_042447.1
"Picconia azorica voucher BM:H. Schaefer 2008-323 chloroplast, complete genome",Picconia azorica,377,377,99%,5.999999999999998e-100,97.74,155350,NC_042428.1
"Notelaea venosa voucher P:L.A. Craven & C.L. Brubaker 10115 (P04255191) chloroplast, complete genome",Notelaea venosa,377,377,99%,5.999999999999998e-100,97.74,155012,NC_042427.1
"Noronhia peglerae voucher PET:O. Maurin 1766 chloroplast, complete genome",Noronhia peglerae,377,377,99%,5.999999999999998e-100,97.74,155559,NC_042426.1
"Fraxinus lanuginosa voucher MNHN:P:715-88 chloroplast, complete genome",Fraxinus lanuginosa,377,377,99%,5.999999999999998e-100,97.74,155628,NC_042424.1
"Schrebera capuronii voucher K:P. Ranirison 940 (K000197191) chloroplast, complete genome",Schrebera capuronii,377,377,99%,5.999999999999998e-100,97.74,155705,NC_042388.1
"Chionanthus pubescens voucher K:J. Mostacero-Leon et al. 1762 chloroplast, complete genome",Chionanthus pubescens,377,377,99%,5.999999999999998e-100,97.74,155800,NC_042387.1
"Chionanthus polygamus voucher K:T. & P. 148 (K000224268) chloroplast, complete genome",Chionanthus polygamus,377,377,99%,5.999999999999998e-100,97.74,155411,NC_042386.1
"Chionanthus maxwellii voucher P:M.F. Newman, LAO 189 (P03406941) chloroplast, complete genome",Chionanthus maxwellii,377,377,99%,5.999999999999998e-100,97.74,155504,NC_042385.1
"Osmanthus fragrans chloroplast, complete genome",Osmanthus fragrans,377,377,99%,5.999999999999998e-100,97.74,155896,NC_042377.1
"Phillyrea aff. angustifolia Moukhli 1 voucher MPU:A. Moukhli 1 chloroplast, complete genome",Phillyrea aff. angustifolia Moukhli 1,377,377,99%,5.999999999999998e-100,97.74,155298,NC_042376.1
"Chionanthus thorelii voucher P:M.F. Newman 2145 (P00577947) chloroplast, complete genome",Chionanthus thorelii,377,377,99%,5.999999999999998e-100,97.74,156057,NC_042374.1
"Chionanthus quadristamineus voucher K:A. Papadopulos 366 chloroplast, complete genome",Chionanthus quadristamineus,377,377,99%,5.999999999999998e-100,97.74,155618,NC_042373.1
"Chionanthus mala-elengi voucher P:C.F. van Beusekom & C. Phengklai 3048 (P03426140) chloroplast, complete genome",Chionanthus mala-elengi,377,377,99%,5.999999999999998e-100,97.74,155500,NC_042372.1
"Osmanthus fragrans chloroplast, complete genome",Osmanthus fragrans,377,377,99%,5.999999999999998e-100,97.74,155296,MH687871.1
"Amphilophium dusenianum voucher J. Durigon 582 (ICN) chloroplast, complete genome",Amphilophium dusenianum,377,377,99%,5.999999999999998e-100,97.74,163693,MK415795.1
"Chionanthus ligustrinus voucher P:A.H. Liogier 15164 (P03384280) chloroplast, complete genome",Chionanthus ligustrinus,377,377,99%,5.999999999999998e-100,97.74,155912,NC_042284.1
"Chionanthus brassii voucher MPU:J.F. Molino 3078 chloroplast, complete genome",Chionanthus brassii,377,377,99%,5.999999999999998e-100,97.74,155980,NC_042282.1
"Chionanthus axillaris voucher P:B. Hyland 11357 (P04254621) chloroplast, complete genome",Chionanthus axillaris,377,377,99%,5.999999999999998e-100,97.74,155550,NC_042281.1
"Priogymnanthus hasslerianus voucher P:E.M. Zardini & M. Vera 41142 (P03868535) chloroplast, complete genome",Priogymnanthus hasslerianus,377,377,99%,5.999999999999998e-100,97.74,156760,NC_042279.1
"Noronhia intermedia voucher P:M.S. Vorontsova 464 chloroplast, complete genome",Noronhia intermedia,377,377,99%,5.999999999999998e-100,97.74,155654,NC_042276.1
"Noronhia clarinerva voucher P:M.S. Vorontsova 356 chloroplast, complete genome",Noronhia clarinerva,377,377,99%,5.999999999999998e-100,97.74,155576,NC_042275.1
"Fraxinus angustifolia voucher P:G. Besnard 42-2014 chloroplast, complete genome",Fraxinus angustifolia,377,377,99%,5.999999999999998e-100,97.74,155574,NC_042271.1
"Schrebera trichoclada voucher MO:T.B. Hart 1544 chloroplast, complete genome",Schrebera trichoclada,377,377,99%,5.999999999999998e-100,97.74,155644,NC_042268.1
"Schrebera swietenioides voucher MO:C.F. van Beusekom 3815 chloroplast, complete genome",Schrebera swietenioides,377,377,99%,5.999999999999998e-100,97.74,156068,NC_042267.1
"Schrebera orientalis voucher MO:Service Forestier 27716 chloroplast, complete genome",Schrebera orientalis,377,377,99%,5.999999999999998e-100,97.74,155718,NC_042266.1
"Osmanthus insularis voucher M:G. Murata 18543 chloroplast, complete genome",Osmanthus insularis,377,377,99%,5.999999999999998e-100,97.74,155298,NC_042264.1
"Osmanthus aff. armatus Besnard 02-2013 voucher P:G. Besnard 02-2013 chloroplast, complete genome",Osmanthus aff. armatus Besnard 02-2013,377,377,99%,5.999999999999998e-100,97.74,155324,NC_042263.1
"Noronhia brevituba voucher TAN:M.S. Vorontsova 1929-7 chloroplast, complete genome",Noronhia brevituba,377,377,99%,5.999999999999998e-100,97.74,155594,NC_042262.1
"Chionanthus pedunculatus voucher MNHN:P:H.S. MacKee 43644 (P00096934) chloroplast, complete genome",Chionanthus pedunculatus,377,377,99%,5.999999999999998e-100,97.74,155578,NC_042261.1
"Chionanthus panamensis voucher K:E. Martinez & C.H. Ramos 26308 chloroplast, complete genome",Chionanthus panamensis,377,377,99%,5.999999999999998e-100,97.74,155812,MH817890.1
"Osmanthus fragrans chloroplast, complete genome",Osmanthus fragrans,377,377,99%,5.999999999999998e-100,97.74,155896,MG820121.1
"Fraxinus mandshurica chloroplast, complete genome",Fraxinus mandshurica,377,377,99%,5.999999999999998e-100,97.74,155530,NC_041463.1
"Syringa yunnanensis voucher A:R. Lancaster 934 chloroplast, complete genome",Syringa tomentella subsp. yunnanensis,377,377,99%,5.999999999999998e-100,97.74,156822,NC_042468.1
"Schrebera trichoclada voucher PET:O. Maurin 2636 chloroplast, complete genome",Schrebera trichoclada,377,377,99%,5.999999999999998e-100,97.74,155693,MH817942.1
"Schrebera swietenioides voucher K:W.S. Kurz 2312 chloroplast, complete genome",Schrebera swietenioides,377,377,99%,5.999999999999998e-100,97.74,156063,MH817941.1
"Schrebera capuronii voucher K:P. Ranirison 940 (K000197191) chloroplast, complete genome",Schrebera capuronii,377,377,99%,5.999999999999998e-100,97.74,155705,MH817940.1
"Schrebera alata voucher XX-0-GOET-14122 chloroplast, complete genome",Schrebera alata,377,377,99%,5.999999999999998e-100,97.74,156087,MH817939.1
"Picconia excelsa voucher PT-0-BR-20110182-45 chloroplast, complete genome",Picconia excelsa,377,377,99%,5.999999999999998e-100,97.74,155355,MH817938.1
"Picconia azorica voucher BM:H. Schaefer 2008-323 chloroplast, complete genome",Picconia azorica,377,377,99%,5.999999999999998e-100,97.74,155350,MH817937.1
"Phillyrea latifolia voucher TUM:Kunne, sn chloroplast, complete genome",Phillyrea latifolia,377,377,99%,5.999999999999998e-100,97.74,155300,MH817936.1
"Phillyrea angustifolia voucher Restinclieres, Prades-le-Lez chloroplast, complete genome",Phillyrea angustifolia,377,377,99%,5.999999999999998e-100,97.74,155335,MH817935.1
"Phillyrea aff. angustifolia Moukhli 1 voucher MPU:A. Moukhli 1 chloroplast, complete genome",Phillyrea aff. angustifolia Moukhli 1,377,377,99%,5.999999999999998e-100,97.74,155298,MH817934.1
"Osmanthus yunnanensis voucher XX-0-BR-19392003 chloroplast, complete genome",Osmanthus yunnanensis,377,377,99%,5.999999999999998e-100,97.74,155482,MH817933.1
"Osmanthus delavayi isolate Back Yard-1 (KEITH arboretum) chloroplast, complete genome",Osmanthus delavayi,377,377,99%,5.999999999999998e-100,97.74,155365,MH817931.1
"Olea tsoongii voucher MPU:RBGE-19697316 / G. Besnard, sn chloroplast, complete genome",Olea tsoongii,377,377,99%,5.999999999999998e-100,97.74,155237,MH817930.1
"Olea paniculata voucher MPU:C. Lambrides 1 chloroplast, complete genome",Olea paniculata,377,377,99%,5.999999999999998e-100,97.74,155720,MH817928.1
"Notelaea venosa voucher P:L.A. Craven & C.L. Brubaker 10115 (P04255191) chloroplast, complete genome",Notelaea venosa,377,377,99%,5.999999999999998e-100,97.74,155012,MH817924.1
"Notelaea microcarpa voucher R.G. Coveny 12689 chloroplast, complete genome",Notelaea microcarpa,377,377,99%,5.999999999999998e-100,97.74,155019,MH817923.1
"Notelaea longifolia voucher P:L.A. Craven & C.L. Brubaker 10154 (P04255187) chloroplast, complete genome",Notelaea longifolia,377,377,99%,5.999999999999998e-100,97.74,155037,MH817922.1
"Noronhia peglerae voucher PET:O. Maurin 1766 chloroplast, complete genome",Noronhia peglerae,377,377,99%,5.999999999999998e-100,97.74,155559,MH817921.1
"Noronhia lowryi voucher TAN:J. Razanatsoa 675-2 chloroplast, complete genome",Noronhia lowryi,377,377,99%,5.999999999999998e-100,97.74,155602,MH817920.1
"Nestegis cunninghamii isolate coll. KEW-1966-67114 voucher K:Kepos 45352 chloroplast, complete genome",Nestegis cunninghamii,377,377,99%,5.999999999999998e-100,97.74,154907,MH817916.1
"Haenianthus salicifolius voucher MO:E. Terranova 15 chloroplast, complete genome",Haenianthus salicifolius,377,377,99%,5.999999999999998e-100,97.74,155928,MH817913.1
"Fraxinus xanthoxyloides voucher K:Kepos 45350 chloroplast, complete genome",Fraxinus xanthoxyloides,377,377,99%,5.999999999999998e-100,97.74,155694,MH817912.1
"Fraxinus quadrangulata voucher A:14654 (G.W. Letterman) chloroplast, complete genome",Fraxinus quadrangulata,377,377,99%,5.999999999999998e-100,97.74,155541,MH817911.1
"Fraxinus latifolia isolate coll. KEW-1969-14512 voucher K:Kepos 45348 chloroplast, complete genome",Fraxinus latifolia,377,377,99%,5.999999999999998e-100,97.74,155606,MH817909.1
"Fraxinus lanuginosa voucher MNHN:P:715-88 chloroplast, complete genome",Fraxinus lanuginosa,377,377,99%,5.999999999999998e-100,97.74,155628,MH817908.1
"Fraxinus americana voucher A:968-79 (R.E. Weaver & J. Nickerson) chloroplast, complete genome",Fraxinus americana,377,377,99%,5.999999999999998e-100,97.74,155602,MH817907.1
"Comoranthus minor voucher MO:R.I. Randrianaivo 1757 chloroplast, complete genome",Comoranthus minor,377,377,99%,5.999999999999998e-100,97.74,155929,MH817901.1
"Chionanthus virginicus isolate coll. KEW-1976292 chloroplast, complete genome",Chionanthus virginicus,377,377,99%,5.999999999999998e-100,97.74,155748,MH817900.1
